Age,Tenure_Years,Account_Balance_LKR,District,CRIB_Status,Recent_Loan_Rejected,Digital_Banking_User,Churn
37,0,0.0,Matara,Clean,0,1,1
18,22,21975.0,Vavuniya,Clean,0,1,0
33,8,42251.0,Gampaha,Clean,0,0,0
28,10,462503.0,Colombo,Clean,0,1,0
37,1,0.0,Gampaha,Clean,0,1,1
43,7,377693.0,Colombo,Clean,0,1,1
24,2,51556.0,Batticaloa,Clean,1,1,1
54,6,338153.0,Kilinochchi,Clean,1,1,0
25,14,0.0,Kandy,Defaulted,1,1,1
35,1,5022004.0,Kandy,Defaulted,1,0,1
52,5,154869.0,Colombo,Clean,0,1,0
31,12,1376655.0,Ampara,Clean,0,0,0
47,7,291570.0,Matara,Clean,0,0,0
41,5,0.0,Ratnapura,Defaulted,0,1,0
39,8,0.0,Jaffna,Defaulted,0,1,1
47,2,232385.0,Matara,Clean,0,1,0
61,0,0.0,Kandy,Clean,1,1,0
32,10,0.0,Gampaha,Clean,1,1,1
40,6,25864.0,Jaffna,Clean,1,0,0
32,9,2919.0,Trincomalee,Clean,0,0,0
22,9,2622845.0,Gampaha,Clean,0,0,0
30,1,43425.0,Colombo,Clean,0,0,0
26,0,85803.0,Ratnapura,Clean,0,0,1
35,0,302306.0,Gampaha,Clean,0,1,1
60,2,0.0,Gampaha,Clean,0,1,0
54,1,64771.0,Ampara,Clean,1,0,1
56,15,83116.0,Kurunegala,Clean,0,0,0
36,0,1158612.0,Galle,Clean,0,0,0
46,1,0.0,Kalutara,Clean,0,0,1
51,3,131015.0,Kalutara,Clean,1,0,1
30,6,219928.0,Gampaha,Defaulted,1,0,1
38,3,22295.0,Trincomalee,Clean,0,1,1
24,0,125420.0,Gampaha,Defaulted,0,1,0
38,5,11595.0,Kandy,Defaulted,1,1,1
18,0,184660.0,Polonnaruwa,Clean,0,0,1
43,0,0.0,Gampaha,Clean,0,1,0
35,0,2093519.0,Kurunegala,Clean,0,0,0
59,1,257665.0,Ampara,Defaulted,1,0,1
33,1,350128.0,Kandy,Clean,0,1,0
30,2,99520.0,Gampaha,Defaulted,1,1,1
30,6,7303.0,Kandy,Clean,0,1,0
29,3,1824125.0,Colombo,Clean,0,0,1
22,11,41554.0,Matara,Clean,1,0,0
32,0,3300356.0,Puttalam,Clean,0,0,0
27,8,276450.0,Polonnaruwa,Clean,0,0,0
44,6,0.0,Gampaha,Clean,0,1,1
